"id";"requisito";"criterio";"caso_historia";"regla_invariante";"entidad_dato";"endpoint";"metodo";"rol";"pantalla_accion";"prueba_backend";"prueba_frontend";"e2e_playwright";"evidencia";"comando_reproducible";"resultado";"sha_aplicacion";"riesgo_residual"
"RNF01-C05";"RNF-01";"Secretos fuera de código y exposición controlada";"Operación P13-P14";"Variables protegidas, escaneo y cero secretos en Git";"Configuración Vercel, Render, Neon";"No aplica";"No aplica";"Operación";"No aplica";"p12:audit";"No aplica";"No aplica";"Inventario P14 de seguridad";"npm run p12:audit && npm audit";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Vercel, Neon, base y demo remediados; credencial Render revocada y retirada; API administrativa Render NOT CONFIGURED / NOT REQUIRED; valores ausentes de Git y artefactos"
"RNF02-C01";"RNF-02";"Navegación clara y terminología consistente";"Todos los CU visibles";"Navegación por rol y títulos de ruta";"Rutas React";"No aplica";"No aplica";"Todos";"AppShell y páginas RF";"No aplica";"App.test.tsx y suites de feature";"ux-p11.spec.ts";"Manifest visual P14";"npm --workspace @sgmv/frontend test";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RNF02-C02";"RNF-02";"Vistas adaptables 390, 1024 y 1440";"Todos los CU visibles";"Sin overflow crítico y tareas completables";"CSS y componentes";"No aplica";"No aplica";"Todos";"Login, módulos y navegación";"No aplica";"Accessibility.test.tsx y suites de feature";"p12-accessibility.spec.ts, ux-p11.spec.ts, p14-evidence.spec.ts";"P14_RNF02_LOGIN_390.png, P14_RNF02_LOGIN_1024.png, P14_RNF02_LOGIN_1440.png";"npm run p14:evidence";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Validado en Chromium/Edge modernos, no en navegadores obsoletos"
"RNF02-C03";"RNF-02";"Teclado, foco y estados carga/error/vacío";"Flujos críticos";"Foco gestionado, Escape, restauración y regiones de estado";"Componentes UI";"No aplica";"No aplica";"Todos";"Modal, Drawer, RouteBoundary, StatePanel";"No aplica";"Accessibility.test.tsx y suites de feature";"p12-accessibility.spec.ts, ux-p11.spec.ts";"Resultados P12/P14";"npm --workspace @sgmv/frontend test && npm run test:e2e:local";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RNF03-C01";"RNF-03";"95 % de operaciones habituales aproximadamente en máximo 3 s bajo prueba";"Lecturas representativas";"20 muestras concurrentes de tres consultas derivadas con p95 <= 3000 ms";"Historial e informes";"/historial/resumen, /historial/buses, /historial/informes/mantenimiento";"GET";"ADMINISTRADOR";"Historial e informes";"p12-performance.test.ts";"No aplica";"p13-production.spec.ts";"Resultados de pruebas P14";"npm run test:backend:local -- --run test/p12-performance.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Cold start de Render Free puede superar 3 s y está fuera de la carga local académica"
"RNF03-C02";"RNF-03";"Producción disponible durante validación";"Smoke productivo";"Health y readiness 200, cuatro roles completan sesión y permiso";"Vercel, Render, Neon";"/api/health, /api/ready y flujos por rol";"GET, POST";"Todos";"Producción";"health.test.ts";"No aplica";"p13-production.spec.ts";"Smoke 4/4 del 2026-09-10";"npm run test:e2e:production";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Plan gratuito puede dormir y provocar cold start"
"RNF04-C01";"RNF-04";"Separación modular frontend, backend y persistencia";"Arquitectura";"Workspaces y capas controller/service/repository/Prisma";"src/frontend, src/backend, prisma";"API REST";"Todos";"No aplica";"Módulos por feature";"175 pruebas backend";"74 pruebas frontend";"12 Playwright locales más producción";"Inventario P14";"npm run typecheck && npm run lint && npm run format:check && npm run build";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Documentación histórica extensa, cierre P14 define la fuente final"
"RNF04-C02";"RNF-04";"Configuración reproducible y credenciales fuera de código";"Operación P13";"Builds versionados, .env ignorado y runbooks";"package.json, vercel.json, render.yaml, prisma";"No aplica";"No aplica";"Operación";"No aplica";"p12:audit";"No aplica";"p13-production.spec.ts";"Inventario y runbook P14";"npm run p13:config && npm run p12:audit && npm audit";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RNF05-C01";"RNF-05";"Alertas se muestran dentro del sistema";"CU transversal Alertas";"Bandeja autenticada, sin canales externos";"AlertaInterna, AlertaDestinatario";"/api/alertas";"GET";"Todos";"Bandeja de alertas";"alerts.test.ts";"AlertsPage.test.tsx";"alerts-p9.spec.ts";"P14_RNF05_MECANICO_ALERTAS_390.png";"npm run test:backend:local -- --run test/alerts.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Solo alertas internas por alcance académico"
"RNF05-C02";"RNF-05";"Cada alerta conserva destinatario, prioridad, fecha, estado y origen";"CU transversal Alertas";"Exactamente un origen normalizado y contexto saneado";"AlertaInterna, AlertaDestinatario";"/api/alertas";"GET";"Todos";"Detalle y filtros de alerta";"alerts.test.ts, prisma-integrity.test.ts";"AlertsPage.test.tsx";"alerts-p9.spec.ts";"P14_RNF05_MECANICO_ALERTAS_390.png";"npm run test:backend:local -- --run test/alerts.test.ts test/prisma-integrity.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RNF05-C03";"RNF-05";"Cada rol solo visualiza alertas acordes a sus permisos";"CU transversal Alertas";"Destinatarios materializados por rol, propiedad y contexto";"AlertaDestinatario, Usuario, Rol";"/api/alertas";"GET";"Todos";"Bandeja propia";"alerts.test.ts, p12-security.test.ts";"AlertsPage.test.tsx";"alerts-p9.spec.ts, p12-security.spec.ts";"P14_RNF05_MECANICO_ALERTAS_390.png";"npm run test:backend:local -- --run test/alerts.test.ts test/p12-security.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RNF05-C04";"RNF-05";"Lectura y atención son trazables e idempotentes";"CU transversal Alertas";"NO_LEIDA a LEIDA a ATENDIDA por destinatario";"AlertaDestinatario";"/api/alertas/:destinatarioId/leida y atendida";"PATCH";"Destinatario propietario";"Marcar leída/atendida";"alerts.test.ts, idempotency.test.ts";"AlertsPage.test.tsx";"alerts-p9.spec.ts";"P14_RNF05_MECANICO_ALERTAS_390.png";"npm run test:backend:local -- --run test/alerts.test.ts test/idempotency.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RNF05-C05";"RNF-05";"Deduplicación y concurrencia evitan alertas duplicadas";"Productores transversales";"Clave por ocurrencia/ciclo más unicidad y candado";"AlertaInterna, AlertaDestinatario";"Productores de RF-01 a RF-05";"POST interno";"Sistema";"Resultado visible en bandeja";"alerts.test.ts, p12-concurrency.test.ts";"AlertsPage.test.tsx";"alerts-p9.spec.ts";"Matriz y resultados de pruebas";"npm run test:backend:local -- --run test/alerts.test.ts test/p12-concurrency.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Evaluador periódico depende de proceso activo en Render Free"
